welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,"ID",date,expName,psychopyVersion,OS,frameRate,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,translation_key.keys,translation_key.corr,translation_key.rt,testResp,word_rsp.text,trWrd_mouse.x,trWrd_mouse.y,trWrd_mouse.leftButton,trWrd_mouse.midButton,trWrd_mouse.rightButton,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,3.001,blijven,,0.151176121,0.098144531,1,0,0,0,152,152,140,1,blijven,images/br_blijven.png,images/cb_blijven.png,1,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,7.3282,,,-0.0396357,0.053651495,1,0,0,0,153,153,172,1,weigeren,images/br_weigeren.png,images/cb_weigeren.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,0.2975,,,-0.084192425,0.03037534,1,0,0,0,154,154,10,1,leek,images/br_leek.png,images/cb_leek.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,2.8041,,,-0.067225713,0.050543478,1,0,0,0,155,155,1,1,zaal,images/br_zaal.png,images/cb_zaal.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,1.5825,,,-0.043410326,0.055112092,1,0,0,0,156,156,78,1,leren,images/br_leren.png,images/cb_leren.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,3.3717,,,-0.043410326,0.055112092,1,0,0,0,157,157,131,1,opzicht,images/br_opzicht.png,images/cb_opzicht.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,2.7099,,,0.001384171,0.108275306,1,0,0,0,158,158,68,1,schat,images/br_schat.png,images/cb_schat.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,1.907,,,0.027823539,0.135521399,1,0,0,0,159,159,15,1,soda,images/br_soda.png,images/cb_soda.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,1.5013,,,0.01649966,0.132978091,1,0,0,0,160,160,66,1,lever,images/br_lever.png,images/cb_lever.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,1.8985,,,0.01649966,0.134273098,1,0,0,0,161,161,160,1,daarheen,images/br_daarheen.png,images/cb_daarheen.png,0,,,,,,,,,,,,,,,,,,,,,
