welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,refresh_mouse.x,refresh_mouse.y,refresh_mouse.leftButton,refresh_mouse.midButton,refresh_mouse.rightButton,refresh_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,trainInstr_mouse.time,translation_key.keys,translation_key.corr,translation_key.rt,testResp,word_rsp.text,word_mouse.x,word_mouse.y,word_mouse.leftButton,word_mouse.midButton,word_mouse.rightButton,word_mouse.time,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.16816214,-0.334828887,1,0,0,1.1681,0,23,23,3,1,d,images/br_d.png,images/cb_d.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.172814868,-0.330840851,1,0,0,1.2506,0,24,24,4,1,e,images/br_e.png,images/cb_e.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.172814868,-0.330840851,1,0,0,1.3511,0,25,25,23,1,x,images/br_x.png,images/cb_x.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,-0.172814868,-0.330840851,1,0,0,22.4311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,8.2514,taal,,-0.156198032,-0.365403789,1,0,0,1.0056,0,0,0,17,1,taal,images/br_taal.png,images/cb_taal.png,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,10.085,,,-0.156198032,-0.365403789,1,0,0,6.5171,0,1,1,100,1,geduld,images/br_geduld.png,images/cb_geduld.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,6.7957,,,-0.156198032,-0.365403789,1,0,0,2.4219,0,2,2,93,1,waarop,images/br_waarop.png,images/cb_waarop.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,16.5523,,,-0.107676969,-0.206547046,1,0,0,3.4458,0,3,3,143,1,hechten,images/br_hechten.png,images/cb_hechten.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,16.5845,,,-0.107676969,-0.206547046,1,0,0,6.0169,0,4,4,83,1,mening,images/br_mening.png,images/cb_mening.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,5.4348,,,-0.107676969,-0.206547046,1,0,0,1.2778,0,5,5,66,1,lever,images/br_lever.png,images/cb_lever.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,11.5798,,,-0.107676969,-0.206547046,1,0,0,2.2504,0,6,6,133,1,seizoen,images/br_seizoen.png,images/cb_seizoen.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,6.5738,,,-0.107676969,-0.206547046,1,0,0,5.0894,0,7,7,54,1,gebit,images/br_gebit.png,images/cb_gebit.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,78.6353,,,-0.107676969,-0.206547046,1,0,0,5.7342,0,8,8,70,1,ijdel,images/br_ijdel.png,images/cb_ijdel.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,7.8847,,,-0.107676969,-0.206547046,1,0,0,1.3613,0,9,9,180,1,openbaar,images/br_openbaar.png,images/cb_openbaar.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,3.9347,,,-0.107676969,-0.206547046,1,0,0,0.679,0,10,10,62,1,knaap,images/br_knaap.png,images/cb_knaap.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,2.201,,,-0.107676969,-0.206547046,1,0,0,1.234,0,11,11,43,1,klauw,images/br_klauw.png,images/cb_klauw.png,0,,,,,,,,,,,,,,,,,,,,,
