welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,participant,refresh_mouse.x,refresh_mouse.y,refresh_mouse.leftButton,refresh_mouse.midButton,refresh_mouse.rightButton,refresh_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,trainInstr_mouse.time,translation_key.keys,translation_key.corr,translation_key.rt,word_rsp.text,word_mouse.x,word_mouse.y,word_mouse.leftButton,word_mouse.midButton,word_mouse.rightButton,word_mouse.time,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,testResp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,48.4821,,0.528136689,0.284859546,1,0,0,2.5223,0,11,11,14,1,rijp,images/br_rijp.png,images/cb_rijp.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,5.5534,,0.497984933,0.351575313,1,0,0,2.6846,0,12,12,146,1,opkomen,images/br_opkomen.png,images/cb_opkomen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,18.2527,,0.418942073,0.247250308,1,0,0,2.0745,0,13,13,152,1,afnemen,images/br_afnemen.png,images/cb_afnemen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,4.682,,0.556090272,0.124259997,1,0,0,1.8713,0,14,14,186,1,voorraad,images/br_voorraad.png,images/cb_voorraad.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,1.8706,,0.556090272,0.124259997,1,0,0,1.3183,0,15,15,44,1,flits,images/br_flits.png,images/cb_flits.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,47.8051,,0.49379748,0.195775739,1,0,0,1.4659,0,16,16,182,1,bijkomen,images/br_bijkomen.png,images/cb_bijkomen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,4.0328,,0.49379748,0.195775739,1,0,0,0.6944,0,17,17,33,1,vlek,images/br_vlek.png,images/cb_vlek.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,5.5523,,0.47918118,0.248941004,1,0,0,3.0107,0,18,18,151,1,aanzoek,images/br_aanzoek.png,images/cb_aanzoek.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,3.6475,,0.47918118,0.248941004,1,0,0,0.8163,0,19,19,36,1,vuur,images/br_vuur.png,images/cb_vuur.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,11.6574,,0.335005645,0.290686038,1,0,0,1.6716,0,20,20,133,1,seizoen,images/br_seizoen.png,images/cb_seizoen.png,0,,,,,,,,,,,,,,,,,,,,,,
