welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,"ID",date,expName,psychopyVersion,OS,frameRate,participant,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,translation_key.keys,translation_key.corr,translation_key.rt,word_rsp.text,trWrd_mouse.x,trWrd_mouse.y,trWrd_mouse.leftButton,trWrd_mouse.midButton,trWrd_mouse.rightButton,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,testResp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.4975,,0.071396878,0.245251439,1,0,0,0,63,63,178,1,huisdier,images/br_huisdier.png,images/cb_huisdier.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.043,,0.071396878,0.245251439,1,0,0,0,64,64,96,1,slagen,images/br_slagen.png,images/cb_slagen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.8393,,0.071396878,0.245251439,1,0,0,0,65,65,138,1,akkoord,images/br_akkoord.png,images/cb_akkoord.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,7.6952,,0.067390641,0.259545947,1,0,0,0,66,66,67,1,zwart,images/br_zwart.png,images/cb_zwart.png,1,zwart,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.03,,0.071396878,0.245251439,1,0,0,0,67,67,161,1,attentie,images/br_attentie.png,images/cb_attentie.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,35.7951,,0.071396878,0.245251439,1,0,0,0,68,68,187,1,opkijken,images/br_opkijken.png,images/cb_opkijken.png,1,opkijken,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,4.1634,,0.071396878,0.245251439,1,0,0,0,69,69,151,1,aanzoek,images/br_aanzoek.png,images/cb_aanzoek.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,1.3742,,0.071396878,0.245251439,1,0,0,0,70,70,173,1,apparaat,images/br_apparaat.png,images/cb_apparaat.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,4.4912,,0.071396878,0.245251439,1,0,0,0,71,71,42,1,bleek,images/br_bleek.png,images/cb_bleek.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.9146,,0.071396878,0.245251439,1,0,0,0,72,72,163,1,schuilen,images/br_schuilen.png,images/cb_schuilen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.4294,,0.071396878,0.245251439,1,0,0,0,73,73,192,1,schaamte,images/br_schaamte.png,images/cb_schaamte.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,8.393,,0.19166672,0.253923955,1,0,0,0,74,74,24,1,jurk,images/br_jurk.png,images/cb_jurk.png,1,jurk,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.4776,,0.171318168,0.295383866,1,0,0,0,75,75,21,1,mist,images/br_mist.png,images/cb_mist.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,1.2155,,0.171318168,0.295383866,1,0,0,0,76,76,60,1,jasje,images/br_jasje.png,images/cb_jasje.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,3.0516,,0.171318168,0.295383866,1,0,0,0,77,77,113,1,koppen,images/br_koppen.png,images/cb_koppen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.1828,,0.171318168,0.295383866,1,0,0,0,78,78,194,1,driemaal,images/br_driemaal.png,images/cb_driemaal.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.3694,,0.207868637,0.322421258,1,0,0,0,79,79,58,1,tekst,images/br_tekst.png,images/cb_tekst.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.5121,,0.207868637,0.322421258,1,0,0,0,80,80,36,1,vuur,images/br_vuur.png,images/cb_vuur.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.2663,,0.207868637,0.322421258,1,0,0,0,81,81,88,1,boeien,images/br_boeien.png,images/cb_boeien.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.2894,,0.207868637,0.322421258,1,0,0,0,82,82,28,1,stal,images/br_stal.png,images/cb_stal.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.1659,,0.207868637,0.322421258,1,0,0,0,83,83,43,1,klauw,images/br_klauw.png,images/cb_klauw.png,0,,,,,,,,,,,,,,,,,,,,,,
