nlWrd,test,testResp,score,word,readingTime,checkingTime,tested,writingTime
loyaal,0.0,,False,loyaal,4.7978000000118755,0.4162999999821295,0,
apparaat,0.0,,False,apparaat,6.163999999999987,0.3990000000001146,0,
staren,0.0,,False,staren,3.665200000017876,0.533099999993965,0,
jagen,0.0,,False,jagen,5.847500000000082,0.41589999997609084,0,
parel,1.0,parel,True,parel,,0.5164000000058877,1,4.714599999994107
palm,0.0,,False,palm,3.781599999994114,0.5995000000000346,0,
trekker,0.0,,False,trekker,3.698399999976118,0.5330000000001291,0,
stal,0.0,,False,stal,3.6488000000119882,0.3990999999939504,0,
mode,0.0,,False,mode,3.598500000000058,0.49930000001199915,0,
spanning,0.0,,False,spanning,3.6154000000060478,0.4824000000060096,0,
ijdel,0.0,,False,ijdel,3.764899999976251,0.3993000000118627,0,
zwart,1.0,zwart,True,zwart,,0.5329999999999018,1,5.747200000017983
weigeren,0.0,,False,weigeren,3.6989000000057786,0.43219999998814274,0,
dubbel,0.0,,False,dubbel,3.7475999999940086,0.5834999999999582,0,
gezond,0.0,,False,gezond,4.697199999988243,0.3333000000118318,0,
oprotten,0.0,,False,oprotten,3.7650999999941632,0.4494999999999436,0,
slak,0.0,,False,slak,3.6639999999999873,0.48379999998223866,0,
heengaan,0.0,,False,heengaan,5.16439999997624,0.5326000000238764,0,
schaamte,0.0,,False,schaamte,4.648099999993974,0.8997000000179014,0,
mening,0.0,,False,mening,7.579699999987952,1.6990000000000691,0,
soda,0.0,,False,soda,3.6644999999998618,0.4824000000060096,0,
knielen,0.0,,False,knielen,3.681900000005953,0.4494000000061078,0,
slagen,0.0,,False,slagen,3.731599999993932,0.3834000000060769,0,
driemaal,0.0,,False,driemaal,4.248000000000047,0.44909999999390493,0,
praat,0.0,,False,praat,3.6980000000000928,0.3998999999762418,0,
gebit,0.0,,False,gebit,3.7817000000179632,0.39979999998195126,0,
lust,0.0,,False,lust,3.5815000000000055,0.366299999982175,0,
koppen,0.0,,False,koppen,5.264099999994187,3.0644000000058895,0,
opzicht,0.0,,False,opzicht,6.014199999988023,0.7488000000118973,0,
slapen,0.0,,False,slapen,3.562400000005937,0.41650000000004184,0,
volop,0.0,,False,volop,3.8150999999941178,0.33359999999402135,0,
