subject,script,column1,column2,stimuli,session,correlation,p_value,degrees_of_freedom
sub-00017,cb,writingTime,length,all,4,0.4440648821634277,0.04982610945704791,18
sub-00017,cb,writingTime,frequency,all,4,-0.13893800806277395,0.5590948231378141,18
sub-00017,cb,writingTime,old20,all,4,0.5955332354900817,0.00559696911671817,18
sub-00018,cb,score,length,all,2,,,18
sub-00018,cb,score,frequency,all,2,,,18
sub-00018,cb,score,old20,all,2,,,18
sub-00018,cb,writingTime,length,all,2,0.21556690288316202,0.3613650983502653,18
sub-00018,cb,writingTime,frequency,all,2,0.5971540597202526,0.0054361280900951554,18
sub-00018,cb,writingTime,old20,all,2,0.27335890023697285,0.24354938121181088,18
sub-00018,cb,score,length,all,3,0.26516504294495535,0.25853041316261094,18
sub-00018,cb,score,frequency,all,3,0.11041465570763535,0.6430662565913923,18
sub-00018,cb,score,old20,all,3,0.20221645261699392,0.39255476170892734,18
sub-00018,cb,writingTime,length,all,3,0.516677090271615,0.019671455687149175,18
sub-00018,cb,writingTime,frequency,all,3,-0.13254889656605243,0.5774755419089339,18
sub-00018,cb,writingTime,old20,all,3,0.46715121303955204,0.03782916749014043,18
sub-00018,cb,score,length,all,4,,,18
sub-00018,cb,score,frequency,all,4,,,18
sub-00018,cb,score,old20,all,4,,,18
sub-00018,cb,writingTime,length,all,4,0.29898172161054154,0.2003606322641057,18
sub-00018,cb,writingTime,frequency,all,4,-0.247223460774112,0.2933270501745275,18
sub-00018,cb,writingTime,old20,all,4,0.4163119502128102,0.06787490592168735,18
sub-00019,br,score,length,all,2,0.16222142113076257,0.49441028491912387,18
sub-00019,br,score,frequency,all,2,-0.29717226759085397,0.20323018960080874,18
sub-00019,br,score,old20,all,2,0.2178410024067886,0.3561980401993413,18
sub-00019,br,writingTime,length,all,2,0.5187816658181401,0.01909255979116423,18
sub-00019,br,writingTime,frequency,all,2,-0.03573440973422511,0.8811068752142888,18
sub-00019,br,writingTime,old20,all,2,0.5036181308019223,0.02358342156435233,18
sub-00019,br,score,length,all,3,-0.16222142113076257,0.49441028491912387,18
sub-00019,br,score,frequency,all,3,0.08233313726306515,0.7300318743087099,18
sub-00019,br,score,old20,all,3,-0.07375080575449794,0.7573158572578206,18
sub-00019,br,writingTime,length,all,3,0.23517031615906447,0.3182385637096472,18
sub-00019,br,writingTime,frequency,all,3,0.229978027314343,0.3293482176863556,18
sub-00019,br,writingTime,old20,all,3,0.3631113177980992,0.11558308514489966,18
sub-00019,br,score,length,all,4,0.32444284226152514,0.16282885489702595,18
sub-00019,br,score,frequency,all,4,0.01230462122455999,0.9589379654723618,18
sub-00019,br,score,old20,all,4,0.031179455765443974,0.8961776075084826,18
sub-00019,br,writingTime,length,all,4,0.7088692978201873,0.0004670635130726898,18
sub-00019,br,writingTime,frequency,all,4,-0.32904794483099553,0.15659829823990545,18
sub-00019,br,writingTime,old20,all,4,0.4828402957273641,0.031051862859081243,18
sub-00020,br,score,length,all,2,3.5665786850516695e-19,1.0,18
sub-00020,br,score,frequency,all,2,0.1602246574565578,0.499809996418798,18
sub-00020,br,score,old20,all,2,-0.0198037274915262,0.9339549282898456,18
sub-00020,br,writingTime,length,all,2,0.6167653064000881,0.00377328611826289,18
sub-00020,br,writingTime,frequency,all,2,-0.08783448864539636,0.7127031829375491,18
sub-00020,br,writingTime,old20,all,2,0.6409207832739391,0.0023267416838846523,18
sub-00020,br,score,length,all,3,,,18
sub-00020,br,score,frequency,all,3,,,18
sub-00020,br,score,old20,all,3,,,18
sub-00020,br,writingTime,length,all,3,0.448645346186524,0.0472407217717901,18
sub-00020,br,writingTime,frequency,all,3,0.061414073197938956,0.797016833894913,18
sub-00020,br,writingTime,old20,all,3,0.32030314823529515,0.1685736778473445,18
sub-00020,br,score,length,all,4,,,18
sub-00020,br,score,frequency,all,4,,,18
sub-00020,br,score,old20,all,4,,,18
sub-00020,br,writingTime,length,all,4,0.6147974435914401,0.003918244750443348,18
sub-00020,br,writingTime,frequency,all,4,-0.226541642455661,0.3368254234932242,18
sub-00020,br,writingTime,old20,all,4,0.621785508744686,0.003423491439985688,18
sub-00024,cb,score,length,all,2,,,18
sub-00024,cb,score,frequency,all,2,,,18
sub-00024,cb,score,old20,all,2,,,18
sub-00024,cb,writingTime,length,all,2,0.3932857041000041,0.08625356703069424,18
sub-00024,cb,writingTime,frequency,all,2,-0.04714106779831878,0.8435492401275146,18
sub-00024,cb,writingTime,old20,all,2,0.4764557068266438,0.03368439922317956,18
sub-00024,cb,score,length,all,3,,,18
sub-00024,cb,score,frequency,all,3,,,18
sub-00024,cb,score,old20,all,3,,,18
sub-00024,cb,writingTime,length,all,3,0.1982866213887102,0.40201114315974884,18
sub-00024,cb,writingTime,frequency,all,3,0.06783659278928475,0.7762819845357248,18
sub-00024,cb,writingTime,old20,all,3,0.12620835163553634,0.5959689188337403,18
sub-00024,cb,score,length,all,4,-0.11785113019775792,0.6207127332746671,18
sub-00024,cb,score,frequency,all,4,0.04263080031839067,0.858365448997883,18
sub-00024,cb,score,old20,all,4,-0.04907792384306027,0.8372018816189712,18
sub-00024,cb,writingTime,length,all,4,0.053541200052716,0.8226125016746693,18
sub-00024,cb,writingTime,frequency,all,4,0.03527147299839312,0.882636859875682,18
sub-00024,cb,writingTime,old20,all,4,0.09459377483428501,0.6915970351669674,18
sub-00025,cb,score,length,all,2,-0.6172133998483678,0.003740907306936366,18
sub-00025,cb,score,frequency,all,2,0.3045718048184788,0.19166669858072288,18
sub-00025,cb,score,old20,all,2,-0.5556945157746014,0.010962353232469135,18
sub-00025,cb,writingTime,length,all,2,0.676713506910074,0.0010503981686107208,18
sub-00025,cb,writingTime,frequency,all,2,-0.33906314265248183,0.14362270505307595,18
sub-00025,cb,writingTime,old20,all,2,0.6525169722933138,0.0018181277228365698,18
sub-00025,cb,score,length,all,3,0.4419417382415922,0.05106060757367964,18
sub-00025,cb,score,frequency,all,3,0.1189221190634223,0.6175190392699106,18
sub-00025,cb,score,old20,all,3,0.3836927562476295,0.09490562318803107,18
sub-00025,cb,writingTime,length,all,3,0.024657553759556732,0.9178147795696693,18
sub-00025,cb,writingTime,frequency,all,3,0.05706639680013187,0.8111287231473947,18
sub-00025,cb,writingTime,old20,all,3,-0.14352836934364047,0.5460515342212249,18
sub-00025,cb,score,length,all,4,0.23570226039551584,0.31711321812807236,18
sub-00025,cb,score,frequency,all,4,0.08070180674397494,0.7351951380446144,18
sub-00025,cb,score,old20,all,4,0.23406394448228746,0.320586773037863,18
sub-00025,cb,writingTime,length,all,4,0.1889054468621939,0.4250824868427391,18
sub-00025,cb,writingTime,frequency,all,4,-0.14548048158948276,0.5405468364213545,18
sub-00025,cb,writingTime,old20,all,4,0.11647271789572969,0.624832794562479,18
sub-00026,br,score,length,all,2,-0.3535533905932738,0.1262116099538717,18
sub-00026,br,score,frequency,all,2,0.17058481243020782,0.47210768676767784,18
sub-00026,br,score,old20,all,2,-0.4028380852579118,0.0782305738900329,18
sub-00026,br,writingTime,length,all,2,0.592240457786275,0.00593579644736275,18
sub-00026,br,writingTime,frequency,all,2,-0.09241721818656617,0.6983704155131353,18
sub-00026,br,writingTime,old20,all,2,0.3463409149075694,0.13467943203525654,18
sub-00026,br,score,length,all,3,0.39605901719066977,0.08386436869637307,18
sub-00026,br,score,frequency,all,3,0.06397688480971198,0.7887263710872738,18
sub-00026,br,score,old20,all,3,0.4457949696284498,0.04883715783914809,18
sub-00026,br,writingTime,length,all,3,0.07957714386199949,0.7387611609214089,18
sub-00026,br,writingTime,frequency,all,3,0.06380606280405104,0.7892782954699076,18
sub-00026,br,writingTime,old20,all,3,-0.08886192888067021,0.7094815305103745,18
sub-00026,br,score,length,all,4,0.11785113019775793,0.6207127332746671,18
sub-00026,br,score,frequency,all,4,-0.6130651814094572,0.004049636649460665,18
sub-00026,br,score,old20,all,4,0.04530269893205565,0.8495824505308687,18
sub-00026,br,writingTime,length,all,4,-0.20009412449350378,0.3976463313395764,18
sub-00026,br,writingTime,frequency,all,4,0.17517695054689744,0.46008131476884384,18
sub-00026,br,writingTime,old20,all,4,-0.13127326083394017,0.5811762603801591,18
sub-00029,br,score,length,all,2,0.07715167498104598,0.7464691296786147,18
sub-00029,br,score,frequency,all,2,-0.031110274570993864,0.8964067807050686,18
sub-00029,br,score,old20,all,2,0.037674204459294945,0.874700410890454,18
sub-00029,br,writingTime,length,all,2,0.4254196698026643,0.061482356392540426,18
sub-00029,br,writingTime,frequency,all,2,0.045377884268285984,0.8493355449244895,18
sub-00029,br,writingTime,old20,all,2,0.3928458734104066,0.08663704386239497,18
sub-00029,br,score,length,all,3,-0.1543033499620919,0.51598894719704,18
sub-00029,br,score,frequency,all,3,-0.39470809376247573,0.08502199320875514,18
sub-00029,br,score,old20,all,3,-0.029418165107391325,0.9020145672241617,18
sub-00029,br,writingTime,length,all,3,0.15876979387048615,0.5037622093404069,18
sub-00029,br,writingTime,frequency,all,3,-0.056599418246357294,0.8126478853714503,18
sub-00029,br,writingTime,old20,all,3,-0.04451262320719496,0.8521778384491656,18
sub-00029,br,score,length,all,4,-0.09901475429766744,0.6779087466924992,18
sub-00029,br,score,frequency,all,4,-0.10726614169250058,0.6526216153685012,18
sub-00029,br,score,old20,all,4,0.11735746407445787,0.6221870554080007,18
sub-00029,br,writingTime,length,all,4,0.14074378071175803,0.5539473496659286,18
sub-00029,br,writingTime,frequency,all,4,-0.1290745072702605,0.5875786882845898,18
sub-00029,br,writingTime,old20,all,4,-0.16692194952200495,0.48181251875822917,18
sub-00033,br,score,length,all,2,0.16222142113076257,0.49441028491912387,18
sub-00033,br,score,frequency,all,2,0.07904054478016947,0.7404643977669869,18
sub-00033,br,score,old20,all,2,0.09901863745763115,0.6778967654713052,18
sub-00033,br,writingTime,length,all,2,0.6167743431059889,0.0037726308474438763,18
sub-00033,br,writingTime,frequency,all,2,-0.36016137792039854,0.11879229563822169,18
sub-00033,br,writingTime,old20,all,2,0.5179587140552353,0.01931728472085045,18
sub-00033,br,score,length,all,3,,,18
sub-00033,br,score,frequency,all,3,,,18
sub-00033,br,score,old20,all,3,,,18
sub-00033,br,writingTime,length,all,3,0.5871294177655378,0.0064949871101290645,18
sub-00033,br,writingTime,frequency,all,3,0.18003227436748623,0.4475382629881859,18
sub-00033,br,writingTime,old20,all,3,0.31074534072744825,0.1823640922625515,18
sub-00033,br,score,length,all,4,,,18
sub-00033,br,score,frequency,all,4,,,18
sub-00033,br,score,old20,all,4,,,18
sub-00033,br,writingTime,length,all,4,0.4951230910225124,0.026442441915859153,18
sub-00033,br,writingTime,frequency,all,4,-0.16205380267559005,0.4948624649560228,18
sub-00033,br,writingTime,old20,all,4,0.6693942429257236,0.0012463747738136982,18
sub-00035,cb,score,length,all,2,-0.11785113019775788,0.6207127332746671,18
sub-00035,cb,score,frequency,all,2,0.24147111299508048,0.30506257052377705,18
sub-00035,cb,score,old20,all,2,-0.18703196815545908,0.4297729736424697,18
sub-00035,cb,writingTime,length,all,2,0.5218298018107742,0.018278303647784527,18
sub-00035,cb,writingTime,frequency,all,2,-0.18280794452116908,0.4404484034957122,18
sub-00035,cb,writingTime,old20,all,2,0.5285511317010793,0.01658072818931602,18
sub-00035,cb,score,length,all,3,0.32444284226152514,0.16282885489702595,18
sub-00035,cb,score,frequency,all,3,-0.010463701219316323,0.9650774395874313,18
sub-00035,cb,score,old20,all,3,0.5923855042861289,0.005920524394981398,18
sub-00035,cb,writingTime,length,all,3,0.21386645611189203,0.36525663602860986,18
sub-00035,cb,writingTime,frequency,all,3,-0.17730768840086492,0.454554854763203,18
sub-00035,cb,writingTime,old20,all,3,0.26081458081802966,0.26671637802362747,18
sub-00035,cb,score,length,all,4,1.7832893425258348e-19,1.0,18
sub-00035,cb,score,frequency,all,4,0.0987809640885356,0.6786302272524408,18
sub-00035,cb,score,old20,all,4,0.2910082538108105,0.21321006222367933,18
sub-00035,cb,writingTime,length,all,4,0.2633544015409962,0.261917814924133,18
sub-00035,cb,writingTime,frequency,all,4,-0.3345789921658068,0.14933571439738508,18
sub-00035,cb,writingTime,old20,all,4,0.19628815928791163,0.4068675032828307,18
sub-00036,cb,score,length,all,2,-0.4714045207910316,0.035887998813629945,18
sub-00036,cb,score,frequency,all,2,-0.09787518969857462,0.6814279999380912,18
sub-00036,cb,score,old20,all,2,-0.460386383151899,0.041083401810441185,18
sub-00036,cb,writingTime,length,all,2,0.26889041043154915,0.25164854570056433,18
sub-00036,cb,writingTime,frequency,all,2,-0.3365560367659005,0.14679767339620298,18
sub-00036,cb,writingTime,old20,all,2,0.42558736579377227,0.061369086216368635,18
sub-00036,cb,score,length,all,3,0.1443375672974064,0.5437666249129977,18
sub-00036,cb,score,frequency,all,3,0.28307163217531767,0.22652828029681438,18
sub-00036,cb,score,old20,all,3,-0.0338685214705865,0.887275973507518,18
sub-00036,cb,writingTime,length,all,3,0.6169359633828415,0.0037609273326621824,18
sub-00036,cb,writingTime,frequency,all,3,0.13485264074204542,0.5708180356524098,18
sub-00036,cb,writingTime,old20,all,3,0.32297541114397527,0.16484961344772225,18
sub-00036,cb,score,length,all,4,-0.07071067811865478,0.7670492158502156,18
sub-00036,cb,score,frequency,all,4,0.25198860986561517,0.2838183070868069,18
sub-00036,cb,score,old20,all,4,-0.056628373665069606,0.8125536695737581,18
sub-00036,cb,writingTime,length,all,4,0.38411394963357015,0.09451291855908148,18
sub-00036,cb,writingTime,frequency,all,4,-0.34325344648842737,0.13842409922768525,18
sub-00036,cb,writingTime,old20,all,4,0.3530578992013502,0.12678091291136262,18
sub-00045,br,score,length,all,2,-0.23570226039551578,0.3171132181280727,18
sub-00045,br,score,frequency,all,2,0.03677529178386544,0.8776682962519462,18
sub-00045,br,score,old20,all,2,-0.21580611710245284,0.36081956063275045,18
sub-00045,br,writingTime,length,all,2,0.49149275029236217,0.027744590257129994,18
sub-00045,br,writingTime,frequency,all,2,-0.19227821539275314,0.4167076508004197,18
sub-00045,br,writingTime,old20,all,2,0.45970786143872483,0.0414213838450896,18
sub-00045,br,score,length,all,3,0.4714045207910317,0.03588799881362985,18
sub-00045,br,score,frequency,all,3,0.013002832524493186,0.9566099925597854,18
sub-00045,br,score,old20,all,3,0.6187477780930244,0.0036317737505177743,18
sub-00045,br,writingTime,length,all,3,0.3456812253176071,0.1354734668196696,18
sub-00045,br,writingTime,frequency,all,3,-0.014273762908461362,0.9523733430971029,18
sub-00045,br,writingTime,old20,all,3,0.012395872603676495,0.9586336969726765,18
sub-00045,br,score,length,all,4,0.1178511301977579,0.6207127332746671,18
