subject,script,column1,column2,stimuli,session,correlation,p_value,degrees_of_freedom
sub-00020,br,readingTime,length,all,2,0.4954693788935489,1.5352069395582299e-12,178
sub-00020,br,readingTime,frequency,all,2,-0.0752245221351353,0.3155547884259646,178
sub-00020,br,readingTime,old20,all,2,0.49543849273534396,1.5408511622949896e-12,178
sub-00020,br,readingTime,length,all,3,0.38585487724722667,8.827690768275383e-08,178
sub-00020,br,readingTime,frequency,all,3,0.11745850589541422,0.11633759165812421,178
sub-00020,br,readingTime,old20,all,3,0.3606211884801624,6.596178876734911e-07,178
sub-00020,br,readingTime,length,all,4,0.0809569415577718,0.27998243538909506,178
sub-00020,br,readingTime,frequency,all,4,-0.02978120240852687,0.6914698146661082,178
sub-00020,br,readingTime,old20,all,4,0.13796495349150065,0.0647557025436114,178
sub-00024,cb,readingTime,length,all,2,0.37393083543138994,2.3325380566047755e-07,178
sub-00024,cb,readingTime,frequency,all,2,-0.07582586935147147,0.311690725384084,178
sub-00024,cb,readingTime,old20,all,2,0.33574596386890854,4.07379864969126e-06,178
sub-00024,cb,readingTime,length,all,3,0.1034623043831555,0.16813065780484301,177
sub-00024,cb,readingTime,frequency,all,3,0.003302741814157855,0.965001473714141,177
sub-00024,cb,readingTime,old20,all,3,0.1551367744787452,0.0381147336388557,177
sub-00024,cb,readingTime,length,all,4,0.36826271242122327,3.652380754781247e-07,178
sub-00024,cb,readingTime,frequency,all,4,0.02273615720017264,0.7619267379190297,178
sub-00024,cb,readingTime,old20,all,4,0.3751457997423155,2.1164062656630013e-07,178
sub-00025,cb,readingTime,length,all,2,0.1797073102428811,0.01578215432087131,178
sub-00025,cb,readingTime,frequency,all,2,-0.06907141307166294,0.3568754674318491,178
sub-00025,cb,readingTime,old20,all,2,0.06670125409356834,0.3736549146434523,178
sub-00025,cb,readingTime,length,all,3,0.268869615704236,0.0002626797068829421,178
sub-00025,cb,readingTime,frequency,all,3,-0.004556643986719152,0.9515915968870373,178
sub-00025,cb,readingTime,old20,all,3,0.1976738968785479,0.007816479945565473,178
sub-00025,cb,readingTime,length,all,4,0.07832493452866604,0.2959652634672288,178
sub-00025,cb,readingTime,frequency,all,4,0.03068853149059849,0.6825706355217396,178
sub-00025,cb,readingTime,old20,all,4,0.11517944714181365,0.12364387432322388,178
sub-00026,br,readingTime,length,all,2,0.17130482160334298,0.02185831950923645,177
