subject,script,column1,column2,stimuli,repetition,correlation,p_value,degrees_of_freedom
sub-00020,br,readingTime,frequency,all,7,0.23583228413427357,0.24612099795581643,24
sub-00020,br,checkingTime,frequency,all,7,-0.224362573481181,0.2705109060831018,24
sub-00024,cb,readingTime,frequency,all,1,-0.09678884724236145,0.6380957472975862,24
sub-00024,cb,checkingTime,frequency,all,1,0.3478123574823963,0.0816639576771985,24
sub-00024,cb,readingTime,frequency,all,2,0.004231230105122035,0.9836332961932464,24
sub-00024,cb,checkingTime,frequency,all,2,-0.008051221357754814,0.9688626506679681,24
sub-00024,cb,readingTime,frequency,all,3,-0.17354751349805655,0.396514929471355,24
sub-00024,cb,checkingTime,frequency,all,3,-0.12441531640384687,0.5448095037418799,24
sub-00024,cb,readingTime,frequency,all,4,-0.08074222697333186,0.6949848756376131,24
sub-00024,cb,checkingTime,frequency,all,4,-0.07151915303054703,0.7284505686333579,24
sub-00024,cb,readingTime,frequency,all,5,-0.2659430881343336,0.18913144803967263,24
sub-00024,cb,checkingTime,frequency,all,5,-0.16250771584983448,0.42767837914350787,24
sub-00024,cb,readingTime,frequency,all,6,0.0710188994896781,0.7302802961856151,24
sub-00024,cb,checkingTime,frequency,all,6,-0.11600596539310791,0.5725253258618964,24
sub-00024,cb,readingTime,frequency,all,7,0.23361141341062316,0.25072695236616876,24
sub-00024,cb,checkingTime,frequency,all,7,0.00950272031802436,0.9632525461871855,24
sub-00025,cb,readingTime,frequency,all,1,-0.02329006026467569,0.9100853456702821,24
sub-00025,cb,checkingTime,frequency,all,1,-0.027400187997366723,0.8942982588634865,24
sub-00025,cb,readingTime,frequency,all,2,-0.09441021194893004,0.6464131528096937,24
sub-00025,cb,checkingTime,frequency,all,2,-0.055584946927816785,0.7873928014079126,24
sub-00025,cb,readingTime,frequency,all,3,0.029797745734953782,0.8851068729185735,24
sub-00025,cb,checkingTime,frequency,all,3,0.04107342593276445,0.8420924621474855,24
sub-00025,cb,readingTime,frequency,all,4,-0.20564807862661025,0.313522992179707,24
sub-00025,cb,checkingTime,frequency,all,4,-0.05495676084176256,0.7897424076320734,24
sub-00025,cb,readingTime,frequency,all,5,0.07467359749422624,0.7169465702700606,24
sub-00025,cb,checkingTime,frequency,all,5,-0.11862729705044672,0.5638189715155412,24
sub-00025,cb,readingTime,frequency,all,6,-0.1965911749370077,0.33576867103369756,24
sub-00025,cb,checkingTime,frequency,all,6,0.2496917665351388,0.21863480710615807,24
sub-00025,cb,readingTime,frequency,all,7,0.04265963008379566,0.836073795638692,24
sub-00025,cb,checkingTime,frequency,all,7,-0.19331772705743097,0.3440369940866167,24
sub-00026,br,readingTime,frequency,all,1,0.40161479927868743,0.04198600876000388,24
sub-00026,br,checkingTime,frequency,all,1,-0.03444871569285282,0.8673189191531789,24
sub-00026,br,readingTime,frequency,all,2,-0.3132907764729831,0.11912875338813815,24
sub-00026,br,checkingTime,frequency,all,2,-0.24882372213245624,0.2202930080452524,24
sub-00026,br,readingTime,frequency,all,3,0.04022216771043858,0.8453260483140137,24
