subject,script,ses-1_test-accuracy,ses-1_test-reading,ses-1_test-writing,ses-1_train-reading,ses-1_train-checking,ses-2_test-accuracy,ses-2_test-reading,ses-2_test-writing,ses-2_train-accuracy,ses-2_train-reading,ses-2_train-checking,ses-2_train-writing,ses-2_ref-reading,ses-2_ref-checking,ses-3_test-accuracy,ses-3_test-reading,ses-3_test-writing,ses-3_train-accuracy,ses-3_train-reading,ses-3_train-checking,ses-3_train-writing,ses-4_test-accuracy,ses-4_test-reading,ses-4_test-writing,ses-4_train-accuracy,ses-4_train-reading,ses-4_train-checking,ses-4_train-writing
00026,br,0.05,5.9901033333297,6.09840333333411,1.50652637362595,6.0020637362642,0.466666666666667,5.99184333333373,4.73182833333409,0.9,8.10331333333155,2.53272800000116,13.1610399999991,1.506773076924,2.93074230769162,0.466666666666667,5.99156166666798,5.71448833333549,0.85,5.57056222222049,1.79117000000104,13.5869050000012,0.466666666666667,5.99838333333333,6.38789999999997,0.9,7.79463333333334,3.112465,17.6149500000001
00029,br,0.05,5.98639333333572,23.643248333325,1.51322637362533,3.2488598901112,0.1,5.99081166667141,11.3736450000088,0.7,6.4117422222164,2.2317255000037,34.6602499999762,1.51295769231136,2.83613846153479,0.0666666666666667,5.99083833333652,2.66269500001072,0.7,3.63139833333493,1.13697100000202,50.9307300000012,0.133333333333333,5.98693166667621,7.95369500001273,0.15,4.45666277777354,0.936501000005001,15.7354199999929
00033,br,0.516666666666667,5.98830166666681,12.6349666666664,1.51883571428564,5.01505054945065,0.833333333333333,5.98928999999707,4.90748166666677,0.95,9.3630733333346,1.5247590000005,8.86640000000295,1.51722307692468,2.14974615384524,0.933333333333333,5.9887066666658,4.23434666666734,1,7.9598599999989,2.89468100000144,8.37446499999611,0.966666666666667,5.9917050000022,3.7471566666682,1,6.66329333333307,1.74266650000035,6.07099000000657
00035,cb,0.7,5.98903999999982,15.9953616666668,1.51730604395598,7.30176813186821,0.683333333333333,5.98808333333361,12.8989116666669,0.9,9.33497999999991,3.92334699999993,12.0076349999998,1.518619230769,11.5834115384617,0.766666666666667,5.98714166666647,10.878075,0.95,7.26955222222233,3.2760675,13.2988299999997,0.633333333333333,5.98733666666694,10.010606666666,0.95,6.42301666666576,2.12039000000045,10.3573900000006
00036,cb,0,5.99187833333257,200.328103333336,1.51536923076851,2.03461043956106,0,5.99451833333373,2.75620166666903,0.1,3.76221722222169,1.12153600000263,10.794925,1.51473846154488,1.92331153845558,0.15,5.99358499999443,2.86894333333871,0.4,2.73202555555502,0.619499000003339,10.8086699999899,0.35,5.99202666666658,3.57069666666678,0.5,6.22423166666666,1.25279000000004,9.60278000000018
00045,br,0.15,6.00404499997696,6.25865333334606,1.51436813187206,2.84094230768838,0.666666666666667,5.98724166666267,3.95213166666826,0.9,7.93623722221586,0.92310950001478,8.50168999997379,1.51046538463006,6.38820769229302,0.683333333333333,5.9873966666778,4.06980499999124,0.9,7.15336111109919,0.791892500004765,8.37683500000239,0.85,5.98814333333971,3.22625166666506,0.9,8.92699499999549,0.676109500004061,7.51998500002624
00046,br,0.366666666666667,5.99724833333093,8.99604833332703,1.5099285714253,7.40473406593681,0.733333333333333,5.99589333332977,12.7030566666682,1,16.2670016666704,1.67213549999833,9.1131800000131,1.51719999999266,2.29204230769781,0.683333333333333,5.99654166667859,18.161896666656,1,22.8821883333306,1.1342760000044,11.8734149999976,0.566666666666667,5.99146666665883,12.7589750000019,0.95,42.9821638888869,4.63147350000437,7.45325499998924
00047,cb,0.533333333333333,5.99844999999605,19.0470033333361,1.50979615384603,7.27688296703323,0.833333333333333,5.9982833333343,9.37607166666481,1,12.823357777779,1.10862150000037,11.1446599999964,1.51064230770102,3.20171538460713,0.866666666666667,5.99793499999643,7.9922050000022,0.95,10.9946461111105,1.49418449999781,8.82958499999345,0.883333333333333,5.9984366666685,7.3050283333341,0.9,10.3778288888885,0.877740499998639,12.844474999997
00048,cb,0.466666666666667,5.98853166667224,19.7122066666564,1.50980109890149,5.55523131868079,0.633333333333333,5.96830500000319,7.82874999999804,0.95,32.9360055555589,1.95380750000179,21.5533499999999,1.51375769230036,3.36229230769781,0.633333333333333,5.98823499999441,30.951425000008,0.8,10.2592277777791,2.3102519999975,16.8727200000107,0.75,5.99179666666288,6.28632499999899,0.8,11.4512822222213,1.83782299999983,19.8844400000096
00049,cb,0.466666666666667,5.99886666666665,8.46348333333333,1.50943956043957,3.6936978021978,0.583333333333333,5.99923333333334,6.353,0.9,8.73118888888888,1.11971,9.61180000000004,1.50465384615385,3.27976923076923,0.816666666666667,5.99964999999997,5.05173333333336,0.9,7.65066666666667,0.764465000000004,9.77310000000001,0.916666666666667,5.99928333333335,4.20625000000003,0.95,6.27775555555554,0.970715000000014,7.13089999999988
00050,br,0.483333333333333,6.00545333333338,5.3730383333333,1.51460494505495,4.65576263736264,0.716666666666667,6.0043866666667,3.43114333333334,1,6.72456333333333,1.315087,7.78867999999997,1.51531923076923,3.17721538461538,0.983333333333333,5.99723333333274,2.30177666666692,1,4.66928944444429,0.977677999999968,5.13132499999927,0.966666666666667,6.00706500000035,2.52827833333336,1,4.82796111111169,0.684302499999558,4.99603500000089
00051,cb,0.683333333333333,5.99398333333329,11.9531333333334,1.5092032967033,6.3083956043956,0.75,5.99591666666667,4.35248333333332,1,7.51317222222222,0.93065,7.31404999999999,1.50938461538462,2.43134615384615,0.766666666666667,5.99526666666669,3.80179999999998,1,6.91750555555555,0.740435000000001,6.05475000000001,0.85,5.99580000000001,2.9137,0.95,7.75622777777778,1.54249499999999,12.1854
00053,cb,0.0666666666666667,5.99074666666678,6.03185666666668,1.50886153846156,3.48785769230767,0.75,5.98899999999982,4.81030833333351,0.9,10.2807699999999,2.29323849999997,16.9261000000004,1.50945384615459,5.99234615384544,0.866666666666667,5.98887166666688,3.6030400000001,1,4.86328166666674,0.804947999999822,7.47552500000037,0.783333333333333,5.99061166666674,4.19803499999978,0.75,4.17114277777758,1.37075550000035,7.21826999999954
00054,cb,0.483333333333333,5.9899666666706,7.92365166666312,1.516062087902,5.64751208792217,0.75,5.99357833333213,9.0018233333389,1,8.19859888888995,0.67545800000251,11.695000000006,1.51468846154671,2.13306538460805,0.8,5.99375999998651,4.78048666667939,0.95,6.63405277778308,0.51253499999404,10.7319549999952,0.85,5.99748333335319,5.03387833331429,0.95,5.53796833333043,0.815702500011918,8.112405000031
00055,cb,0.433333333333333,5.99908833333379,11.4502999999996,1.51842362637333,11.9310329670333,0.916666666666667,5.98597833333464,3.55537666666655,0.95,10.9273511111114,1.19239299999983,7.49447000000184,1.51517307692766,3.6983999999945,0.883333333333333,5.99904833333542,4.13100833333231,0.95,11.8091127777764,3.07192800000027,7.04886499999763,0.883333333333333,5.99941666666665,5.64159666666587,1,5.93371944444312,1.2468925000006,5.70235999999344
00056,cb,0.5,5.99091666666662,6.65998333333338,1.51412087912087,6.13523626373627,0.8,5.99720000000001,4.45436666666669,0.95,7.87591666666667,0.790064999999987,14.12345,1.50823076923077,3.74115384615384,0.9,5.99775000000003,3.74428333333331,0.9,6.7539,1.261815,12.06435,0.866666666666667,5.99306666666673,2.99754999999999,0.95,6.45632777777778,1.34868,8.93205
00058,br,0.116666666666667,5.99049666666659,8.7245916666668,1.51111813186816,5.25801538461535,0.733333333333333,5.99670833333344,6.48121166666662,0.9,11.4425061111111,1.99699799999997,14.1560099999997,1.5153230769233,5.33543076923053,0.8,5.99719333333324,5.1407749999999,1,6.99773777777768,1.34934849999972,8.40354500000102,0.883333333333333,5.99422999999952,4.46148000000001,0.95,6.19189499999985,1.10509500000009,7.47315500000027
00059,br,0.633333333333333,5.99478000000001,6.98890500000001,1.51643956043954,2.99992252747255,0.833333333333333,5.99106666666695,4.354375000001,1,6.68905888888787,1.19347050000072,7.39016999999808,1.51829230769151,2.88826153846257,0.933333333333333,5.9901349999979,4.00677166666488,1,5.41904555555548,0.918670499998336,7.53812000000177,0.816666666666667,5.98688999999962,4.42647666666705,0.95,8.22547500000016,0.97735700000018,8.1790200000003
00060,br,0.4,5.99121666666664,19.24565,1.51161538461539,2.9008021978022,0.816666666666667,5.98434999999995,7.03593333333332,1,9.07946111111111,1.17816,8.58015000000002,1.51384615384615,2.54546153846154,0.916666666666667,5.98724999999999,6.14898333333336,1,5.89200000000001,1.89966,6.0202,0.883333333333333,5.99600000000001,3.77838499999994,1,5.45866222222222,0.638394499999998,6.29461500000014
00062,br,0.466666666666667,5.99211499999764,27.5239966666698,1.51724615384721,5.23879285714128,0.6,5.99461000000006,12.0656999999999,0.65,4.36716222222221,1.57086,17.30002,1.51785769230769,3.63206538461539,0.616666666666667,5.99304333333319,6.22331000000067,0.95,4.0473677777783,1.13957199999995,15.9701300000012,0.716666666666667,5.9916300000002,8.39423500000042,0.95,4.76655666666693,0.930457999999679,12.1949200000018
