subject,script,repetition,letter,readingTime,checkingTime
sub-00004,cb,5,e,1.5201000001429747,1.6589999999999918
sub-00004,cb,5,v,1.5054999999999836,4.0988999998570534
sub-00004,cb,5,j,1.5297000000476828,2.539799999952266
sub-00004,cb,5,a,1.5265000000000557,1.9493000001906464
sub-00004,cb,5,y,1.5161999998092597,1.8500000000000227
sub-00004,cb,5,b,1.5170000000000528,1.8493000001907376
sub-00004,cb,5,h,1.515899999856856,7.989799999952424
sub-00004,cb,5,o,1.5264000000953502,1.9990999999046153
sub-00004,cb,5,n,1.5167000000476492,5.455700000047727
sub-00004,cb,5,u,1.52699999999993,1.733000000000061
sub-00004,cb,5,x,1.5169000000953474,1.5196999998092906
sub-00004,cb,5,r,1.5298000001906755,1.8157999999523329
sub-00004,cb,5,c,1.5167999999523545,1.9494999999999436
sub-00004,cb,5,w,1.5167999999523545,3.187999999999988
sub-00004,cb,5,l,1.528100000143013,1.6495000000001028
sub-00004,cb,5,i,1.516899999856946,1.965600000143013
sub-00004,cb,5,m,1.5178999998569225,2.13149999999996
sub-00004,cb,5,t,1.5174000000954493,2.149200000047699
sub-00004,cb,5,k,1.5164999999999509,2.0495999999046717
sub-00004,cb,5,d,1.5170999999046444,1.7159000000953029
sub-00004,cb,5,f,1.5170999999046444,3.441300000190722
sub-00004,cb,5,q,1.524799999952279,1.7823999998570343
sub-00004,cb,5,g,1.5171000001430457,2.154599999904576
sub-00004,cb,5,z,1.5282000000477185,1.649499999999989
sub-00004,cb,5,s,1.5169000000953474,1.5827999999523854
sub-00004,cb,5,p,1.516899999856946,1.6989999999999554
sub-00004,cb,6,h,1.5166000001430575,2.3832000000477365
sub-00004,cb,6,c,1.5164999999999509,2.899000000000001
sub-00004,cb,6,x,1.5175999999046326,2.6184000000953347
sub-00004,cb,6,m,1.5305999999046662,3.806900000095311
sub-00004,cb,6,e,1.5260000000000673,1.9658999998569016
sub-00004,cb,6,i,1.5169000000953474,1.5160000000000764
sub-00004,cb,6,v,1.5167999999522408,7.782099999904631
sub-00004,cb,6,z,1.5167000000477628,2.948999999999955
sub-00004,cb,6,j,1.5174000000953356,1.5990000000000464
sub-00004,cb,6,y,1.5172999999523429,2.032299999952329
sub-00004,cb,6,s,1.5169000000953474,3.2555999999045753
sub-00004,cb,6,k,1.5272999999523336,2.091900000095393
sub-00004,cb,6,w,1.5130999999046253,3.467400000095381
sub-00004,cb,6,g,1.516099999904668,4.9767000000476855
sub-00004,cb,6,n,1.5059999999999718,2.6100000000000136
sub-00004,cb,6,d,1.505400000095392,1.8807999999522735
sub-00004,cb,6,b,1.5152000000476846,1.8323999998569889
sub-00004,cb,6,t,1.5039000000953138,1.9690999999046424
sub-00004,cb,6,r,1.51370000004772,1.9314999999999145
sub-00004,cb,6,o,1.5184000000954256,2.067599999904587
sub-00004,cb,6,a,1.5115000000000691,2.098700000047643
sub-00004,cb,6,l,1.505400000095392,1.853999999999928
sub-00004,cb,6,p,1.5083999998570334,1.538799999952289
sub-00004,cb,6,u,1.51370000004772,2.4142000000476855
sub-00004,cb,6,f,1.5184999999999036,2.27829999995231
sub-00004,cb,6,q,1.5211000001430648,1.8010999999046362
