subject,script,session,woord,tested,response,score,readingTime,checkingTime,writingTime
sub-00004,cb,2,kreeft,1,KREEFT,True,,0.5190000000000055,7.1890999999047835
sub-00004,cb,2,traag,1,TRAAG,True,,0.588400000095362,6.528299999952424
sub-00004,cb,2,joggen,0,,False,10.414399999856869,0.5317000000477492,
sub-00004,cb,2,tekst,1,TEKST,True,,0.523799999952189,5.97270000004778
sub-00004,cb,2,beseffen,0,,False,10.114700000047604,0.6705000000001746,
sub-00004,cb,2,baai,0,,False,4.566000000000031,0.6351000001429838,
sub-00004,cb,2,flirt,0,,False,8.982000000000198,1.0237000000474836,
sub-00004,cb,2,groen,0,,False,4.093700000047647,0.5168999998570598,
sub-00004,cb,2,boeien,0,,False,7.6491000001431075,0.4858999998568833,
sub-00004,cb,2,bleek,0,,False,3.349799999952211,0.5844000000954566,
sub-00004,cb,2,heilig,0,,False,13.248200000047746,2.353099999904543,
sub-00004,cb,2,toegeven,0,,False,22.50729999995224,2.019099999904711,
sub-00004,cb,2,woning,0,,False,11.573100000143086,2.5928999998568543,
sub-00004,cb,2,twijfel,0,,False,8.481799999952273,1.460400000095433,
sub-00004,cb,2,kabel,0,,False,6.010299999952167,1.488400000095453,
sub-00004,cb,2,anarchie,0,,False,19.913700000047584,39.86500000000001,
sub-00004,cb,2,steek,1,STEEK,True,,0.5615999999045016,4.966499999999996
sub-00004,cb,2,klauw,0,,False,5.525099999904569,0.6432000000477274,
sub-00004,cb,2,kust,0,,False,2.959700000047633,2.907899999856909,
sub-00004,cb,2,laag,0,,False,2.843899999857058,0.5929000000953693,
sub-00004,cb,2,soda,0,,False,9.598700000047756,0.7194999999999254,
sub-00004,cb,2,strikken,0,,False,9.998299999952224,0.8372000000476874,
sub-00004,cb,2,goedkoop,0,,False,10.031299999952353,0.6825999999045962,
sub-00004,cb,2,geit,1,GEIT,True,,2.684500000000071,10.778299999952196
sub-00004,cb,2,strekken,0,,False,22.537099999904513,0.8122999999523017,
sub-00004,cb,2,vullen,0,,False,5.315199999809465,0.6004999999997835,
sub-00004,cb,2,zweven,0,,False,10.24850000000015,0.8034999999999854,
sub-00004,cb,2,feestdag,0,,False,11.897599999904742,0.6652000000476619,
sub-00004,cb,2,kring,1,KRING,True,,0.6595999999046853,15.504400000095302
sub-00004,cb,2,lokken,0,,False,8.840000000000146,2.17970000004766,
sub-00004,cb,2,uitdelen,0,,False,8.732100000142964,0.8042999999522635,
sub-00004,cb,2,stemming,0,,False,8.431300000190731,0.8692999999523181,
sub-00004,cb,2,gegeven,0,,False,6.748499999999922,0.6857000000477456,
sub-00004,cb,2,blijven,0,,False,6.937199999809309,0.6756000001430493,
sub-00004,cb,2,diep,0,,False,7.890700000047673,2.02540000009526,
sub-00004,cb,2,attentie,0,,False,11.28110000014317,0.6023999998567433,
sub-00004,cb,2,lust,0,,False,3.2242999999523363,0.6744000000953747,
sub-00004,cb,2,leek,0,,False,2.8917999999523545,0.7417000000475582,
sub-00004,cb,2,driemaal,0,,False,8.409099999904583,3.626600000143071,
sub-00004,cb,2,opheffen,0,,False,10.840299999952322,0.8414000000955184,
sub-00004,cb,2,baron,0,,False,5.97270000004778,1.0757999999523236,
sub-00004,cb,2,zwart,0,,False,5.41540000009536,0.7097000000476328,
sub-00004,cb,2,stoom,0,,False,2.582499999999982,0.616400000095382,
sub-00004,cb,2,bijkomen,0,,False,19.52360000014301,1.303000000000111,
sub-00004,cb,2,hier,0,,False,6.010400000095387,0.7505999999045798,
sub-00004,cb,2,eetlust,0,,False,8.42579999995246,1.374900000095295,
sub-00004,cb,2,vreten,0,,False,8.20659999990471,0.7427000000475346,
sub-00004,cb,2,rechten,0,,False,13.212499999999864,2.336799999952291,
sub-00004,cb,2,getuigen,0,,False,9.712999999999964,1.435299999952349,
sub-00004,cb,2,waarbij,1,WAARBIJ,True,,0.834099999904538,9.712800000190782
sub-00004,cb,2,waarvan,0,,False,8.381799999952136,2.2196000001431457,
sub-00004,cb,2,apparaat,0,,False,7.665200000047662,2.5204000000953783,
sub-00004,cb,2,keihard,0,,False,13.031099999904429,3.202600000143093,
sub-00004,cb,2,besmet,0,,False,9.662499999999907,1.4697000000476237,
sub-00004,cb,2,waarop,0,,False,4.348400000095353,1.018000000000029,
sub-00004,cb,2,zaal,0,,False,7.065600000142922,0.8687999999524436,
sub-00004,cb,2,jagen,0,,False,8.489000000000033,1.2377000000476528,
sub-00004,cb,2,huisdier,1,HUISDIER,True,,0.837100000142982,18.94939999985695
sub-00004,cb,2,knie,0,,False,11.011100000143188,0.8819999999996071,
sub-00004,cb,2,trekker,1,TREKKER,True,,0.8637999999523345,11.021999999999936
sub-00004,cb,2,volop,0,,False,3.6055999999048254,0.9252999999521307,
sub-00004,cb,2,wijlen,0,,False,11.707399999856989,0.7919999999999163,
sub-00004,cb,2,heengaan,0,,False,12.521799999952236,0.7419000000954838,
sub-00004,cb,2,afnemen,0,,False,10.507399999856716,1.4248000001907712,
sub-00004,cb,2,totaal,0,,False,4.315899999856811,0.6794000000954838,
sub-00004,cb,2,ziek,1,ZIEK,True,,0.790900000095462,10.676799999951982
sub-00004,cb,2,nakijken,0,,False,10.24039999985689,71.62329999995245,
sub-00004,cb,2,kaal,0,,False,2.9665999999047017,0.7347999999519743,
sub-00004,cb,2,knielen,0,,False,9.181699999809098,0.7207000000476,
sub-00004,cb,2,legaal,0,,False,8.690100000143048,1.2074999999999818,
sub-00004,cb,2,prikken,0,,False,9.741199999809396,0.9959999999996398,
sub-00004,cb,2,aandelen,0,,False,9.940999999999804,0.606800000191015,
sub-00004,cb,2,taal,1,TAAL,True,,0.7528999998567087,4.048999999999978
sub-00004,cb,2,flits,0,,False,10.525499999999738,0.6778000001909277,
sub-00004,cb,2,maling,0,,False,12.347799999952258,1.1365999999043197,
sub-00004,cb,2,waken,0,,False,8.745599999904698,0.869499999999789,
sub-00004,cb,2,leren,0,,False,5.982500000000073,1.0189000000955275,
sub-00004,cb,2,gedicht,0,,False,10.848400000095353,0.5934999999999491,
sub-00004,cb,2,oprotten,0,,False,4.964999999999691,0.8410000000003492,
