subject,script,ses-1_train,ses-1_break,ses-1_test,ses-2_refresh,ses-2_train,ses-2_break,ses-2_test,ses-3_train,ses-3_break,ses-3_test,ses-4_train,ses-4_break,ses-4_test
00035,cb,1617.946300000001,37.28129999999874,1320.3110999999994,354.8195999999978,2847.512600000002,211.98839999999836,1134.4944999999998,2345.6681000000017,313.67310000000134,1013.2151000000008,1897.2328999999909,209.46570000000315,961.237599999994
00036,cb,667.7615,0.5874000000060278,12380.219099999991,93.40389999997616,1220.714800000012,21.44989999997597,525.9805000000001,944.2617999999522,15.865000000000007,532.864900000036,1666.8470000000002,16.382599999999684,574.8979000000004
00045,br,812.199600000143,421.5295000000001,737.3094999999998,212.57190000009535,1906.8093999998569,339.48170000004757,599.366,1733.1952000000474,284.66590000009546,606.3735999999049,2016.621600000143,606.8300000000002,555.7960000000003
00046,br,1661.8785,565.1937000000478,901.3752000000476,108.59169999992848,3577.8418000000715,655.0437999999526,1123.8320000000003,4708.1115,791.5987999999525,1451.290600000024,8932.438,530.8973999999762,1127.0741999999282
00047,cb,1626.980800000012,483.1926000000235,1504.4277999999526,134.26710000002385,2886.7146999999886,711.7363000000119,924.2490999999636,2581.844800000012,704.7665000000002,841.197899999976,2420.862800000012,614.0041000000238,800.0633000000116
00048,cb,1307.9675,342.3568999999761,1544.0899999999997,134.5752999999523,6876.368900000095,382.7041999999292,831.2831000000251,2762.708899999976,923.778899999976,2218.181100000024,2940.9662999999523,460.3364000000356,738.1473999999766
00049,cb,984.151,379.41100000000006,868.4519999999998,435.447,2130.094,409.761,741.7600000000002,1866.856,367.5269999999998,663.7650000000003,1589.4809999999998,462.076,612.884
00050,br,1148.3272999999997,435.46,683.9387000000006,129.81459999999996,1753.9477000000002,478.7036999999996,567.3608000000004,1257.7495,398.7339999999999,495.1742000000029,1218.949100000009,445.0923999999909,513.358700000003
00051,cb,1443.371,313.3899999999999,1077.6720000000005,109.16400000000002,1815.397,515.137,622.0770000000002,1625.932,371.096,588.7719999999999,2057.811,108.90700000000017,530.3069999999998
00053,cb,930.1173,5.8910999999995965,723.7302000000003,208.7363000000007,2802.9401000000016,51.06839999999829,650.1876000000016,1303.1958999999983,23.82050000000004,575.9432000000031,1279.3104999999998,1.2826999999954296,612.0006000000017
00054,cb,1347.1516000000238,340.4332999999524,837.7153999999764,98.94910000002383,1979.2142000000472,203.06050000000005,902.7581999999284,1638.0937999999526,845.7584999999999,649.5495999999048,1439.5462999999525,216.90250000000017,664.6344999999999
00055,cb,2563.449100000001,436.33239999999887,1048.3417000000031,145.33639999997618,2495.069400000006,87.3633000000118,574.7946999999881,2995.8544000000056,209.49289999997657,609.1919000000057,1560.074099999964,194.13980000001197,700.0949999999998
00056,cb,1456.228,526.49,759.7579999999998,144.13000000000002,1980.9400000000005,408.83899999999994,628.2179999999998,1816.626,331.42300000000023,585.777,1724.672,326.375,540.817
00058,br,1269.6076000000007,528.7692000000002,884.1284000000003,187.91089999999852,2876.338800000001,1122.8113000000008,749.9105,1820.643699999996,494.1566000000014,669.446200000003,1607.5528000000008,376.2736999999988,628.5941999999995
00059,br,894.9459000000005,371.2173999999993,781.1259000000002,133.20240000000595,1739.331799999997,346.41660000000866,623.070399999991,1444.497800000012,224.09400000000005,602.8559000000059,1990.079600000024,446.25989999997614,627.288600000024
00060,br,810.812,314.5200000000001,1515.8370000000002,108.44799999999998,2171.03,345.53999999999996,784.7449999999999,1681.44,387.1890000000001,727.8379999999997,1344.7268000000004,510.00829999999974,583.3612
00062,br,1261.7947000000477,266.5874000000954,2013.200199999809,150.8082,1681.5389000000002,256.65319999999974,1085.7742999999996,1525.588900000006,185.1542999999972,735.2400000000002,1394.042199999988,43.70119999998815,865.4479999999999
00063,br,839.6931,1000.7702000000004,739.9935999999996,207.032,2422.923799999997,530.1021000000092,581.5220999999938,1532.471800000012,516.4251999999879,510.1210000000001,1351.798099999994,475.3525,500.3335000000002
00065,br,1424.061,548.1800000000001,1188.455,236.16800000000003,2616.3680000000004,373.6959999999999,668.4279999999999,1648.043,443.80899999999974,648.0080000000003,1458.186,512.2550000000001,638.0839999999998
00066,cb,2113.1756000000237,232.68419999992875,831.6674999999996,112.84539999997617,2213.1995,516.9519999999998,602.1212000000478,1896.486200000048,544.9066999999282,567.4928000000718,1531.8080000000002,478.10560000002374,541.4256999999284
00067,cb,1726.651100000024,527.5215000000001,952.596199999988,180.82310000002383,2236.5057999999526,221.40860000002385,548.1028000000119,2221.018899999976,461.670600000024,717.4982000000477,1906.4278999999765,308.1613999999761,675.2589000000357
00068,cb,1064.9111000000237,415.6202000000478,889.8668999999761,159.06879999995232,2356.945399999976,259.7538000000718,712.1414999999997,1761.9409999999998,534.7317999999525,608.7951000000235,1804.4712000000477,387.7045999999046,587.2473000001905
00069,cb,1223.3445,68.81329999999707,809.9565,101.482,1950.3477000000175,144.86799999999994,644.116,1850.2035,206.98849999999993,613.7034000000062,1477.195300000012,320.0857999999523,551.8640000000003
00070,cb,831.6297000000477,19.850299999952313,1027.8107000000475,138.63350000000003,2260.2365999999047,930.2207999999524,679.7817000000477,1388.1504000000953,650.7777000000476,800.4075000000003,1850.875700000048,579.1477000000473,769.8247999999526
00071,cb,1261.911,567.4479999999999,1145.9410000000005,106.613,2248.483,105.82299999999988,670.0830000000001,1822.955,210.71900000000028,651.7579999999998,1783.819,189.48199999999997,597.4089999999999
00074,br,1595.9734000000951,454.84339999985696,1791.854600000143,160.9425,1408.9835999999043,890.9822999999526,609.6756000001428,1231.361799999714,135.00549999999998,619.2962000002863,1395.138,45.36799999999994,607.1718999999987
00076,br,1171.8795,337.8769,1261.8760000000009,118.3738999999985,1748.726299999997,125.99910000000136,510.1191000000015,1384.081799999997,15.87560000000144,532.9361000000015,7670.617800000012,6.4669999999996435,552.1301999999878
00077,br,1527.3398,561.2614000000001,684.4503999999997,173.1013000000045,3113.368299999997,376.82910000000174,708.6019999999994,2659.170399999976,927.6986000000238,685.718699999989,2084.134400000006,568.001400000006,664.6935999999941
00079,br,1062.196400000572,266.6503000001908,832.2608999996185,110.49669999980928,2833.0224000005724,373.8409999999999,739.9986999998091,1831.7621999998096,478.905,601.612400000572,1550.050600000381,392.6868999996186,567.711
00080,br,1859.7378000000117,572.0845000000002,895.3295999999941,120.00850000000004,1717.538899999976,447.768,584.2598000000116,1489.607600000024,831.9116999999878,573.720699999988,1407.364,443.5810999999642,583.3046000000238
00081,br,1650.6902,253.46069999999983,1268.3609,138.1218999999999,2552.9212,204.96760000000089,839.6737999999996,2804.6811000000016,358.0195999999978,694.1316000000015,2125.7405000000003,51.01430000000073,722.1246000000015
00082,br,945.2203999999986,1424.8544000000024,925.8455,147.38860000000147,2919.471899999998,635.8197000000027,758.3572999999978,1257.3510999999942,675.6375,665.0546000000236,1523.129900000006,453.693,592.2550000000003
00083,br,1968.348,478.53499999999985,1182.063,131.598,1966.034,2528.439,687.2340000000004,1470.4820000000002,760.934,499.3380000000002,2775.4930000000004,1636.503999999999,598.8530000000001
00084,br,1080.975,412.1075000000001,1170.3484000000954,303.93219999992846,1996.1802000000475,249.3783999999764,1036.9476000000236,1787.8652000000477,745.202299999952,684.1275,1789.5147999999524,440.7019000000953,696.8500999999046
00085,br,1709.967600000143,462.05300000000034,1046.5345999999045,140.55949999999996,2219.5729000000956,502.2770999999043,748.7162999999528,1647.0767999999523,581.4997000000474,631.5095999999048,1428.1345999999046,458.41629999995234,655.7672000000475
00086,br,1115.9808999999989,532.4089999999999,761.7614999999998,117.14559999999403,2793.5254999999997,432.6054000000063,743.052099999994,1845.987799999997,6969.244100000007,606.9037000000044,1352.970799999982,633.0865999999942,580.4276000000236
00087,br,982.35,663.6700000000001,1884.0698999999904,109.98529999998212,2412.093,507.90250000000015,925.8329000000058,1275.6221999999882,440.10349999999994,745.8525999999938,1370.2868999999762,432.9189999999998,635.2164999999998
00088,br,899.0996000000238,661.6282000000477,1125.793199999929,142.079,2875.9855,286.893600000024,674.8049999999998,2248.354,248.19500000000016,647.168899999976,1701.0357999999972,224.8903000000007,608.153400000002
00089,br,1885.376,566.201,1081.748,369.716,3290.86,628.9299999999994,836.3130000000001,2010.1030000000003,730.4689999999996,659.5889999999999,1702.839,568.5150000000001,649.5719999999997
00090,br,728.6857000002861,48.835599999904616,3549.2701999998094,98.35419999980924,989.8274000000956,24.241599999904565,1575.6584000000953,1039.6579000000952,10.66840000009529,1138.050299999714,1123.3576000003814,15.882099999904767,975.8262999997136
00092,cb,1543.6077000000475,655.7793999999765,1761.784399999976,121.41539999985694,3211.5989000000955,184.98829999995223,739.636799999952,2354.187700000048,304.7779000000951,706.689200000048,1649.3765999999046,574.2417999999527,706.6924999999997
00093,cb,1318.847299999997,830.5176000000092,737.9387999999967,119.20939999999108,1961.2291000000089,442.2885999999939,691.790799999997,1585.6289000000004,475.2437000000005,623.1054999999997,1433.397599999994,407.558,591.8200000000004
00094,cb,1432.5377000000476,514.3212999999523,1240.9755,120.9617999999523,2326.8685,248.95440000009555,840.3186999999284,1712.093600000024,284.8108999999761,723.8048999999762,1602.708,306.4383999999759,675.6365000000001
00095,cb,1121.6949000000357,288.10039999997616,632.9398000000122,105.89600000000002,1533.101,348.116,554.9219999999998,1273.531,590.3985,537.477700000763,1309.768799999237,555.2494000015258,567.3675999984746
00097,cb,749.913199999988,13.254200000017931,989.906699999988,87.79389999997616,874.388800000012,7.985900000005927,1426.7741999999878,848.3312000000477,13.15119999998808,652.267199999988,1004.2991000000238,17.479499999999916,657.1646000000239
00098,cb,1114.1245,435.9329000000953,875.6744999999999,124.15250000000005,1872.813600000143,455.25359999990474,732.0715,1401.867899999857,342.5759000000953,718.2962999999527,1337.5188000001908,349.5136999998092,639.433800000191
00100,br,1099.7223999999994,714.1635000000001,696.7829000000002,118.61859999999402,2149.8411000000015,531.6985,574.6035000000002,1550.298900000006,698.3465000000001,536.4257999999968,1385.738100000009,445.01870000000304,532.5676999999885
00101,cb,727.6952999999523,440.6553000001908,643.8833999998569,226.25309999990463,1567.801200000048,274.74359999990475,599.4296000001432,1221.0195,215.7065,617.4116999998091,1335.2150999999046,508.027,558.2455
00104,cb,1360.428,601.674,975.784,219.49100000000004,3364.1690000000003,314.6859999999997,978.9729999999996,2397.3050000000003,180.9319999999998,733.681,2030.063,175.44399999999996,789.7080000000001
00106,cb,2225.933,25.641000000000076,1337.201,112.245,2694.545,467.71399999999994,646.9009999999998,4065.688000000001,360.69399999999905,1027.9719999999998,3329.6749999999997,407.6120000000001,702.3820000000005
00107,cb,632.6425,0.1751000001430611,629.2892999999523,86.14220000004768,744.881399999857,6.467700000047671,587.6342999999522,755.3887999999522,17.751900000095475,544.9480999999046,936.1985,50.98559999990459,581.8415999999047
00108,br,2066.1034999999997,346.039599999905,769.4637999999522,132.52689999985694,3306.5343000001903,414.167399999857,601.7029000000957,2707.3344000000952,362.42159999990463,640.1550999999045,2617.1032999999525,202.04079999995247,613.5754999999999
00111,cb,965.8605,178.25189999961856,1145.7385000000002,125.81369999980927,1577.8413000001906,359.3294000005719,762.7087999992373,1181.6528000001908,424.11179999923706,565.4021000003813,1236.745,86.39519999980917,579.4043000001907
