sub,ses,nlWrd,readingTime
00004,002,leek,2.8917999999523545
00004,002,driemaal,8.409099999904583
00004,002,opheffen,10.840299999952322
00004,002,baron,5.97270000004778
00004,002,zwart,5.41540000009536
00004,002,stoom,2.582499999999982
00004,002,bijkomen,19.52360000014301
00004,002,hier,6.010400000095387
00004,002,eetlust,8.42579999995246
00004,002,vreten,8.20659999990471
00004,002,rechten,13.212499999999864
00004,002,getuigen,9.712999999999964
00004,002,waarbij,
00004,002,waarvan,8.381799999952136
00004,002,apparaat,7.665200000047662
00004,002,keihard,13.031099999904429
00004,002,besmet,9.662499999999907
00004,002,waarop,4.348400000095353
00004,002,zaal,7.065600000142922
00004,002,jagen,8.489000000000033
00004,002,huisdier,
00004,002,knie,11.011100000143188
00004,002,trekker,
00004,002,volop,3.6055999999048254
00004,002,wijlen,11.707399999856989
00004,002,heengaan,12.521799999952236
00004,002,afnemen,10.507399999856716
00004,002,totaal,4.315899999856811
00004,002,ziek,
00004,002,nakijken,10.24039999985689
00004,002,kaal,2.9665999999047017
00004,002,knielen,9.181699999809098
00004,002,legaal,8.690100000143048
00004,002,prikken,9.741199999809396
00004,002,aandelen,9.940999999999804
00004,002,taal,
00004,002,flits,10.525499999999738
00004,002,maling,12.347799999952258
00004,002,waken,8.745599999904698
00004,002,leren,5.982500000000073
00004,002,gedicht,10.848400000095353
00004,002,oprotten,4.964999999999691
00004,002,oceaan,9.864999999999782
00004,002,mijnheer,16.572799999952167
00004,002,vorm,6.840900000095644
00004,002,zingen,12.251799999952254
00004,002,bedoelen,10.282700000047951
00004,002,lever,9.115099999904942
00004,002,geliefd,4.766000000000076
00004,002,klimmen,8.090500000000247
00004,002,kennis,5.623299999952451
00004,002,woestijn,
00004,002,mijn,5.588800000190986
00004,002,innemen,8.449299999952473
00004,002,akkoord,
00004,002,doodmoe,9.445000000000164
00004,003,doodmoe,8.742899999856945
00004,003,rechten,10.011199999809264
00004,003,graaf,14.361799999952323
00004,003,geheim,5.675700000047698
00004,003,vullen,4.842700000047671
00004,003,opkomen,4.89540000009535
00004,003,goedkoop,5.516200000047689
