nlWrd,test,testResp,score,word,readingTime,checkingTime,tested,writingTime
opkomen,1.0,omkopen,False,opkomen,,4.715199999809329,1,43.426300000190736
stof,0.0,,False,stof,4.232199999809268,0.6128000001907594,0,
attentie,0.0,,False,attentie,5.480799999952296,0.6967999999523045,0,
blik,0.0,,False,blik,3.57650000000001,0.6651000001430702,0,
joggen,0.0,,False,joggen,4.4799999999999045,0.59800000000007,0,
poes,0.0,,False,poes,4.794799999952261,0.5315000000000509,0,
weigeren,0.0,,False,weigeren,4.428700000047684,0.5816999998093024,0,
gebit,0.0,,False,gebit,4.045299999952249,0.6653000001907685,0,
laag,0.0,,False,laag,5.547400000095422,0.7959999999999354,0,
keihard,0.0,,False,keihard,4.695800000190729,0.6643999998569825,0,
jagen,0.0,,False,jagen,3.7295999999046217,0.6313000001907767,0,
baai,0.0,,False,baai,3.8617000000476764,2.3982999999523145,0,
spanning,0.0,,False,spanning,3.695899999857147,0.5816000001429984,0,
staren,0.0,,False,staren,3.712799999952267,0.8313000001908222,0,
blad,0.0,,False,blad,3.86259999990466,1.4815000000000964,0,
legaal,0.0,,False,legaal,5.36129999995228,0.6311000001430784,0,
waarvan,0.0,,False,waarvan,5.844900000095322,0.5820000000001073,0,
aanzoek,0.0,,False,aanzoek,3.794700000047669,0.648700000047711,0,
kabel,0.0,,False,kabel,4.513200000047618,0.7682999999522053,0,
eetlust,1.0,eetlust,True,eetlust,,0.849999999999909,1,9.516799999952354
zuster,0.0,,False,zuster,3.6439000000953,0.5642999999524818,0,
mijn,0.0,,False,mijn,3.962700000047562,0.7330999999046526,0,
slapen,0.0,,False,slapen,3.913799999952289,0.6140000000000327,0,
baas,0.0,,False,baas,5.563900000095373,0.5136999998092051,0,
doodmoe,0.0,,False,doodmoe,7.545200000047544,0.5141000001431166,0,
aflopen,0.0,,False,aflopen,4.512899999856927,1.0974000000953765,0,
aarzelen,0.0,,False,aarzelen,4.714500000000044,0.6143999998569143,0,
schep,0.0,,False,schep,4.279499999999871,0.6855000000000473,0,
jurk,1.0,werk,False,jurk,,1.2154000000953147,1,9.67970000004766
slagen,0.0,,False,slagen,3.5945999999046307,0.5812000000476019,0,
vervoer,0.0,,False,vervoer,3.9963000001905584,0.6978999998570998,0,
moes,0.0,,False,moes,3.8459000000952983,0.7360999999045816,0,
opkijken,1.0,,False,opkijken,,0.7807000000477728,1,3.931799999952318
schatten,0.0,,False,schatten,4.211999999999989,0.7474999999999454,0,
middelen,0.0,,False,middelen,4.911599999904638,1.2980000000000018,0,
kanjer,0.0,,False,kanjer,3.979900000095313,0.5809999999999036,0,
slak,0.0,,False,slak,5.329099999904656,0.5812000000476019,0,
ziek,0.0,,False,ziek,3.795299999952249,1.0319000000954475,0,
zout,0.0,,False,zout,3.8298999998569343,0.8645000000001346,0,
apparaat,0.0,,False,apparaat,3.929399999856969,0.7485000000001492,0,
geheim,0.0,,False,geheim,5.846100000142997,0.6842000000476673,0,
aandelen,1.0,aanbelen,False,aandelen,,1.3827000000476346,1,19.42800000000011
piste,0.0,,False,piste,3.5623999998567797,2.2813000001908676,0,
heilig,0.0,,False,heilig,4.179499999999962,0.6984999999999673,0,
samen,0.0,,False,samen,3.6130000000000564,0.7980000000000018,0,
huisdier,0.0,,False,huisdier,3.780700000047773,0.5802000000476255,0,
laken,0.0,,False,laken,3.795299999952249,0.5984000000953529,0,
anarchie,0.0,,False,anarchie,3.6287999999524345,0.5832000000475546,0,
excuus,0.0,,False,excuus,3.89579999995226,0.6152999999524127,0,
trekker,0.0,,False,trekker,4.412599999904614,0.7812000000476473,0,
afval,0.0,,False,afval,5.03059999990478,0.6480999999046162,0,
vuur,0.0,,False,vuur,3.780200000047671,0.5827000000476801,0,
zaal,0.0,,False,zaal,5.579700000047751,0.5149999999998727,0,
besmet,0.0,,False,besmet,4.812700000047698,0.5687000000475564,0,
zweven,1.0,nuipen,False,zweven,,2.633100000143031,1,15.761700000047767
rijp,0.0,,False,rijp,3.9284999999999854,0.7144000000953383,0,
gezond,0.0,,False,gezond,3.9637000000477656,0.7342999999523272,0,
invloed,1.0,,False,invloed,,1.0839000000953547,1,13.845499999999902
twijfel,0.0,,False,twijfel,4.129200000047831,0.9845000000000255,0,
komisch,1.0,k..e.,False,komisch,,2.5314999999998236,1,18.862600000143175
baron,0.0,,False,baron,3.745700000047691,0.6327999999523399,0,
bloeien,0.0,,False,bloeien,4.129900000095176,0.7853999998569634,0,
zwart,1.0,zwart,True,zwart,,0.8677000000475346,1,22.861399999856985
lokken,0.0,,False,lokken,3.695500000000038,0.6522000000477419,0,
lever,1.0,ladar,False,lever,,1.8497999999522108,1,15.062200000047824
geduld,0.0,,False,geduld,3.7454000000952874,0.798299999952178,0,
kring,0.0,,False,kring,3.995700000047691,0.6482000000478365,0,
rechten,0.0,,False,rechten,3.64650000000006,0.6899000000953492,0,
