welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,participant,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,train_mouse.x,train_mouse.y,train_mouse.leftButton,train_mouse.midButton,train_mouse.rightButton,train_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,testResp,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,nlWrd,brWrd,cbWrd
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,2.0002,5,10,140,2,1,c,images/br_c.png,images/cb_c.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,1.1841,5,11,141,7,1,h,images/br_h.png,images/cb_h.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,0.4329,5,12,142,4,1,e,images/br_e.png,images/cb_e.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,1.4332,5,13,143,19,1,t,images/br_t.png,images/cb_t.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,0.9674,5,14,144,13,1,n,images/br_n.png,images/cb_n.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,0.9011,5,15,145,20,1,u,images/br_u.png,images/cb_u.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,1.1996,5,16,146,21,1,v,images/br_v.png,images/cb_v.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,1.4838,5,17,147,12,1,m,images/br_m.png,images/cb_m.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,1.05,5,18,148,18,1,s,images/br_s.png,images/cb_s.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,2.9172,5,19,149,5,1,f,images/br_f.png,images/cb_f.png,,,,,,,,,,,,,,,,,,,,,,,,,
